Acronym;Description
UPWGTG;PWG voltage threshold for partial throttle range
UPWGTL;Partial load threshold of the PWG voltage in high resistance testing
UPWGU;Lower PWG voltage value for re-scaling to standard value
UPWGUR;Reduced lower PWG voltage value for re-scaling to pedal value
UPWGVG;PWG voltage threshold for full-throttle range
UPWGVGS;WOT threshold for switching of idle threshold
UPWKDDF;Default value of accelerator pedal poti voltage for learned kick-down pos
URADCC;ETS monitoring concept. test of AD converter
URINOFF;Voltage of CJ120 if internal resistance rinlsu_w = 0
URROM;ETS monitoring concept. ROM test
USABGL;LSU voltage for zero pump current
USEVABMN;Minimal post-cat voltage at cut-off start for validation of the measurement
USEVABMX;Maximal post-cat voltage at cut-off start for validation of the measurement
USHKAMXW;Downstream sensor voltage for cancelation of cat oxygen neutralization (word)
USHKLEANRP;Lower threshold for the end of responsetime of sensor downstream cat.
USHKLEANTR;Lower threshold for the end of transienttime of sensor downstream cat.
USHKRICHEN;Threshold for rich volt. for valid dyn. measurement of sensor downstream cat.
USHKRICHTR;Upper threshold for beginning transienttime of sensor downstream cat.
USHKRLUMX;Max. correction value sensor voltage (hydrogen) downstream catalyst
USHKTDM;Lean threshold for rear sensor signal, cat monitoring
USHKTDR;Threshold of rear sensor voltage for reference test
USHKTDRMX;Maximum value of rear sensor voltage for reference test
USHKTDTO;Threshold of rera sensor voltage for repeat of richgas overflow
USLEER;Threshold of rear lambda sensor voltage for defined catalyst state full
USMAX;Threshold for short circuit of sensor to Ubat
USMGMNSA;Min. lean detected lambda sensor voltage for signal output
USMIN;Threshold for short circuit of sensor to ground
USREFH;Threshold for operation readiness of sensor downstream CAT at rich mixture
USREFHHOT;Threshold for operation readiness of sensor at rich mixture on hot op (downstrea
USREFHKLT;Threshold for operat. readiness of sens. downstr. CAT at rich mixture on cold op
USREMH;Threshold for operation readiness of sensor downstream CAT at lean mixture
USRHKMINH;Min. threshold for sensor downstream mean cat.
USRIMINH;Minimum voltage threshold for Ri-measurement of the sensor downstream catalyst
USRIOH;Upper voltage threshold for Ri-measurement of the sensor downstream catalyst
USRIUH;Lower voltage threshold for Ri-measurement of the sensor downstream catalyst
USSCHUB;Threshold for sensor voltage downstream catalyst after fuel cut-off
USVOLL;Threshold of rear lambda sensor voltage for defined catalyst state full
VANF;Speed threshold for approach support
VARAU;Vehicle speed for anti-jerk active
VBAKEO;Upper vehicle speed threshold for cooling down recognition
VBAKEU;Lower vehicle speed threshold for cooling down recognition
VBGFGRAQ;Speed range during aquaplaning detection
VBKLHO;Upper vehicle speed threshold for condition radiation power high
VBKLHU;Lower vehicle speed threshold for condition radiation power high
VBKLNO;Upper vehicle speed threshold for condition radiation power low
VBKLNU;Lower vehicle speed threshold for condition radiation power low
VDASH;Minimum speed for dashpot
VDASHTIP;Speed threshold for tip in
VDDSTDMX;Maximum velocity for check of tank pressure sensor for drift
VDKUPPLMN;Min. vfzg-threshold for diagnosis clutch switch
VDMN;"Vehicle speed threshold - fault detection vhehicle speed signal"
VDMN1;Vehicle speed threshold for error detection
VDSTMN;Minimum velocity for plausibility check of the tank pressure sensor
VDSTMX;Maximum velocity for plausibility check of the tank pressure sensor
VDTHMU;Lower vehicle speed threshold to enable thermostat monitoring
VFGREMAX;Maximum FGR switching-on rate
VFGREMIN;Minimum FGR switching-on rate
VFGRMAX;Max. permitted velocity during active cruise control
VFGRMIN;Minimum permissible speed during FGR-operation
VFZG0;Threshold for vehicle speed = 0
VFZGDEF;Vehicle speed default value for the transmission temperature model.
VFZGFA;Vehicle speed limit for disable service test request
VFZGFAZUE;Vehicle speed limit for disable spark angle freeze service test request
VFZGMILOWM;Max. vehicle velocity for masking out MIL-blinking due to cat damaging misfire
VFZGMNIMPV;Vehicle speed minimum f. condition on general denominator
VFZGMXIMPI;Vehicle speed maximum f. idle condition on general denominator
VFZGRVSMX;Max. vehicle speed for RVS
VFZGSA;Limiting speed f. overrun fuel cut-off
VFZGSCH;Threshold for vehicle speed
VFZGSFO;Max. vehicle speed for oil level monitoring
VFZGSFU;Min. vehicle speed for oil level monitoring
VFZGSLMN;Minimum vehicle speed for locking injection
VFZGTFA;Maximum vehicle speed to enable the electrical check of the intake air temperatu
VFZGTLDEB;Threshold vehicle speed of enable tank leak diagnosis
VFZGWOTMX;Vehicle speed threshold device control WOT self test
VFZLFMN;Vehicle speed below which the vehicle is considered at idle
VFZLFNMN;Vehicle speed below which no fan speed adjustment is allowed
VFZLFNMX;Vehicle speed below which no fan speed adjustment is allowed
VFZMN;Detection of driving-standing
VFZMNGD;Vehicle speed limit for calculation of General Denominator
VFZMXIDGD;Vehicle speed limit for calculation of idle operation f. General Denominator
VHA;Speed threshold for altitude adaptation
VHDISTMN;Mileage at which the EONV Diagnostic can begin running
VHGES;Overall displacement for all cylinder in liter
VHUBZYL;Combustion chamber volume
VKOB;Speed threshold for compr. control during acceleration
VKSTEBF;Volume flow at initial filling
VKSTPVLAB;Volume flow EKP lead time from soak time
VKSTPVLNL;Volume flow EKP lead time from ECU after running
VLLR2;Vehicle speed limit for idle speed control (fine quantization)
VLMXVZ;Max. value for vlast_w
VLSD;Minimum speed for load-shock damping
VMAXLF;Maximum speed of the vehicle
VMAXMD;Torque requirement of VMAX control
VMAXNB;Maximum permissible vehicle speed during normal operation
VMAXTOP;Vehicle speed limit at error control of transmission oil pump
VMDUB;Lower threshold of vehicle speed for battery voltage diagnosis
VMIBBR;Min. vehicle speed to allow torque limitation with regular brake switch
VMIBGR;V-threshold for enabling of torque limitation
VMIBGRK;Velocity threshold for clutch torque limitation
VMINBSP;Min vehicle speed for BSP max error detection
VMIN_UC;Minimum speed for cruise control operation in instruction test
VMIN_UM;Minimum speed for cruise control operation in function monitoring
VMKBRMX;Vehicle speed threshold for clutch torque limitation when brake is applied
VMNSTCH;Min. speed threshold for stuck check
VMSVZPA;Velocity for deactivate MSV two-point-control
VMSVZPAH;Hysteresis of vehicle speed threshold of MSV two-point-control
VMXANF;Max. velocity for activating of pedal idle threshold for take-off
VMXHSPKH;Maximum vehicle speed at idle for request of hom.split injection for CH
VMXPVDKPU;Plausibility-check of TFA2-sensor: maximum ratio of air-charge for enabling diag
VMXSTCH;Max. speed threshold for stuck check
VNMX;Vehicle speed threshold for activation of increased engine speed limit
VNVKVHK;Volume between front catalyst outlet and main catalyst intake
VNWLLPA;Application value speed threshl. at idle (exhaust)
VPDKSE;Desired pressure ratio throttle plate in stationary condition
VPOSTCRASH;Vehicle speed threshold after a crash
VPSPVDMNFA;Min. pressure ration ps/pvdkds for enabling of throttle adaption
VPSRSVDSFD;Press. ratio for enabling DK overtravel
VPSRVDUGD;Ratio of intake manifold pressure to pressure upstream throttle is 0.95
VPVLKPVVVP;Surge line from the tc
VPVLLKPVVG;Surge limit from turbo charger
VPVPUPG;Surge limit from the tc
VPVPUPGH;Surge limit from TC
VREGLMAX;Max. permitted desired speed for cruise control
VREGLMIN;Min. permitted desired speed for cruise control
VRFGRMN;Lower threshold vroh_w for FGR shutdown by vfzg_w = 0
VROHMAX;Maximum allowed raw vehicle speed for signal range check
VSAA;Vehicle speed threshold for cut off engine speed increase
VSAUGROHR;Intake manifold volume without intake manifold switch-over
VSONTL;Volume between lambda sensor and outlet of the turbocharger
VS_VERST;Adjusting parameters for the moment
VTFA1HSC;High-side-check TFA1: vfzg-threshold for enabling diagnosis
VTFA2MN;Plausibility-check of TFA2-sensor: minimum vehicle-speed for enabling diagnosis
VTUMTA;Threshold velocity for determination ambient temperature
VVERDDK;Volume between compressor and throttle blade
VVTVATU;Compression ratio for limiting the compressor discharge air temperature
VWE;Speed threshold for engine speed gradient nwe: clutch open
VWPMBBR;Minimum speed for limiting pedal travel for operated brake
VZMSVRC;Delay time for reduced Current control feature
W2ESMX_UM;Upper threshold angle 2 injection for function monitoring
WAD0T1;Factor weighting range 0 to 1
WAD0T2;Factor weighting range 0 to 2
WAD1T0;Factor weighting range 1 to 0
WAD1T2;Factor weighting range 1 to 2
WAD2T0;Factor weighting range 2 to 0
WAD2T1;Factor weighting range 2 to 1
WBHXXS1AP;Begin angle of first suction stroke injection for application
WCLUTCHCC;Threshold for clutch pedal top of travel achieved
WCLUTCHST;Threshold for clutch pedal bottom of travel achieved
WDELTANWA;Angle DELTA range outlet camshaft
WDELTANWE;Angle DELTA range inlet camshaft
WDKARN;Threshold throttle angle for activation of the mixture adaptation
WDKBA;Tthrottle angle referred to lower limit (basically throttle position for alpha/N)
WDKBANOT;Maximum throttle valve angle in limp-home air position
WDKBAWOTMN;Min. target value of detection wide open throttle at self test
WDKBAWOTMX;Max. target value of detection wide open throttle at self test
WDKBEWS;Threshold for the DK movement detection (I-small)
WDKBRKWDK;Throttle position conversion from percent to break point
WDK_DEF;Throttle angle backup values in case of error
WDKFPRO2;Test threshold actual throttle-valve value for opening DV-E spring check
WDKFPROO;Higher shutdown actual throttle-valve value for opening DV-E spring check
WDKFPROU;Lower shutdown actual throttle-valve value for opening DV-E spring check
WDKFPRZ1;Deactivation threshold DK actual value for DV-E return spring check
WDKFPRZ2;Checking threshold DK actual value for DV-E return spring check
WDK_MAX;Throttle voltage minimum value for error detection
WDK_MIN;Throttle voltage maximum value for error detection
WDKMSMXN;Throttle angle at max. mass flow (depends on engine speed)
WDKNLPMA;Upper allowed setpoint for NLP-position
WDKNLPMI;Lower allowed setpoint for NLP-position
WDKNLPTOL;Permissible DK angle tolerance of the NLP
WDKNPLAUS;Threshold for plausibility check of NLP-Poisition wdknlp_w in Ini2
WDKNSTORE;Threshold for storage of new learning values rel. limp home position
WDKPSRSVMN;Throttle blade angle limit for lower manifold pressure of signal var. check
WDKPUPVDMX;Upper throttle angle limit for comparison pu - pvd
WDKREIB;Frictional component of the DK I small
WDKRVSMX;RVS monitoring maximum throttle threshold for disable fuel
WDKSAPNOL;DK-set value used with apllication supply DK at air in limphome position
WDKSAPP;Throttle angle for calibration tasks
WDKSEB1;Setpoint 1 for DV-E ice breaking
WDKSEB2;Setpoint 2 for DV-E ice breaking
WDKSEBP;Setpoint for DV-E ice check
WDKSEBPO;Upper tolerance for ice break functionality
WDKSEBPU;Lower tolerance for ice break functionality
WDKSFPR;DK setpoint for DV-E return spring check
WDKSFPRO;Nominal throttle-valve value for opening DV-E spring check
WDKSOFS;Offset added to appl. value of desired throttle position at low temperature
WDKSOM;Calculation of desired throttle angle without torque structure
WDKSRFE;Throttle angle end position (self-cleaning-function)
WDKSRFI;Throttle angle initial position (self-cleaning-function)
WDKSRFO;Throttle angle upper stop position (self-cleaning-function)
WDKSRFU;Throttle angle lower stop position (self-cleaning-function)
WDKSTFEIN;Threshold for detection of steady-state (amplified range)
WDKSTGROB;Threshold for detection of steady-state (non-amplified range)
WDKSTMUMA;DK angle threshold for temporary UMA adaptation
WDKUGDN;Throttle angle necessary for 95 of the maximum possible air charge
WDKWDKBRK;Conversion of throttle break point to throttle break position
WDNWSEMN;Lower limit for wdnwse_w at tipin
WDNWSEMX;Upper limit for wdnwse_w at tipin
WEHXXK1AP;End angle of first compression stroke injn. in mode HO2
WESBM;Angle intake closes before software reference mark (tR)
WFKO2VKI;Weighting factor for statistic filter
WFKO2VKIS;Weighting factor for statistic filter for fast adaptation
WIMAX;Upper limit internal controller status continuous lambda control
WIMIN;Lower limit internal controller status continuous lambda control
WKHRMAX;"Maximal relative progress catalyst-heating - exceeding initiates its termination"
WKHWMAX;Threshold for maximum heat quantity for catalyst by repeated crankings
WKRLZOFEKS;Ignition retard offset for guided cylinders in case of knock sensor error
WKWALETEST;Test value for start test via run down position
WNSRFIXE;KL. max. des.angle f. int. res.gas contr. via intake cam.
WNWADRST;Threshold for camshaft adaption reset
